company	job_category	type	body
ark-visiting-nurse	nurse	パート_初回	はじめまして。突然のご連絡大変失礼いたします、アーク訪問看護ステーションの黒木と申します。\n\nこの度は、ご経歴を拝見し、アーク訪問看護ステーションの『訪問看護師 - 面談確約 - 』のキャリアをご検討いただきたく、ご連絡いたしました。\n\n{personalized_text}\n\nこれまでのご経験は、地域に根差した当訪問看護ステーションが目指す「地域の皆様に寄り添う訪問看護」において、重要な役割を担っていただけると感じております。\n\n現在、アーク訪問看護ステーションでは、札幌市西区でご勤務いただける看護師を募集しております。6月以降での増員を検討しており、3〜5月での採用は検討していない点、ご留意くださいませ。\n\n当看護ステーションは、ワークライフバランスを重視しており、柔軟な働き方（時短勤務など）の相談を歓迎します。一人ひとりのライフステージやご家庭の状況に合わせて、最適な勤務形態を一緒に検討し、無理なく長期的に活躍できる環境を提供します。\n\n＜募集要項概要＞\n\n仕事内容 ：\n・訪問看護業務全般（患者様宅を訪問し、体調管理、服薬管理、医療機器管理、日常生活援助、リハビリテーション、ターミナルケア、緩和ケアなどを行っていただきます。）\n\nお客様の特徴：\n・認知症の方、足腰が弱ってしまい通院が大変な方、退院したばかりで日々の生活に不安を感じている方、がんと診断され自宅で過ごしたいと考えている方、神経難病をお持ちの方など\n\n給与： 時給1,500円 〜 2,000円\n\n特徴：\n☆ 成長環境◎充実した研修制度・費用補助あり\n☆ 賞与・昇給あり！各種手当充実！退職金制度あり！\n☆ 子育てママ多数活躍中！急なお休みにも柔軟に対応◎\n☆ Wワーク・ブランクOK！育休産休の取得実績あり！\n☆ クリニックに併設しており、営業ノルマなし！\n☆ 福利厚生◎年末年始休暇あり！残業ほぼなし！\n☆ インフルエンザ予防接種補助あり！職員の健康維持への配慮あり\n☆ 併設クリニックでの医療費は自己負担分の全額還付あり！\n☆ 職員同士助け合う雰囲気のあり！相談しやすい環境◎\n\n勤務時間：\n・正社員　8：30～17：30（休憩60分）*相談可能\n\n教育体制・研修\n☆ セミナーや研修の費用負担（研修費用年間50,000円）\n☆ S-QUE訪問看護eラーニング導入\n☆ 入社初日から新任研修制度あり\n\n勤務地：\n・〒063-0864\n・北海道札幌市西区八軒4条東1丁目2−10 條野ビル205号室\n\nご興味をお持ちいただけましたら、当ステーションのより詳しい情報や、働き方のご希望などについて、ぜひ一度お話する機会をいただけないでしょうか。（カジュアル面談はオンライン可）\n\nご多忙のところ恐縮ですが、ご返信いただけますと幸いです。\n\n何卒よろしくお願い申し上げます。\n\nアーク訪問看護ステーション 黒木 慎一
ark-visiting-nurse	nurse	パート_再送	度々のご連絡大変申し訳ございません。諦めきれず、ご連絡させていただきます、アーク訪問看護ステーションの黒木と申します。この度は、ご経歴を拝見し、アーク訪問看護ステーションの『訪問看護師 - 面談確約 - 』のキャリアをご検討いただきたく、ご連絡いたしました。\n\n{personalized_text}\n\nこれまでのご経験は、地域に根差した当訪問看護ステーションが目指す「地域の皆様に寄り添う訪問看護」において、重要な役割を担っていただけると感じております。\n\n現在、アーク訪問看護ステーションでは、札幌市西区でご勤務いただける看護師を募集しております。6月以降での増員を検討しており、3〜5月での採用は検討していない点、ご留意くださいませ。\n\n当看護ステーションは、ワークライフバランスを重視しており、柔軟な働き方（時短勤務など）の相談を歓迎します。一人ひとりのライフステージやご家庭の状況に合わせて、最適な勤務形態を一緒に検討し、無理なく長期的に活躍できる環境を提供します。\n\n＜募集要項概要＞\n\n仕事内容 ：\n・訪問看護業務全般（患者様宅を訪問し、体調管理、服薬管理、医療機器管理、日常生活援助、リハビリテーション、ターミナルケア、緩和ケアなどを行っていただきます。）\n\nお客様の特徴：\n・認知症の方、足腰が弱ってしまい通院が大変な方、退院したばかりで日々の生活に不安を感じている方、がんと診断され自宅で過ごしたいと考えている方、神経難病をお持ちの方など\n\n給与： 時給1,500円 〜 2,000円\n\n特徴：\n☆ 成長環境◎充実した研修制度・費用補助あり\n☆ 賞与・昇給あり！各種手当充実！退職金制度あり！\n☆ 子育てママ多数活躍中！急なお休みにも柔軟に対応◎\n☆ Wワーク・ブランクOK！育休産休の取得実績あり！\n☆ クリニックに併設しており、営業ノルマなし！\n☆ 福利厚生◎年末年始休暇あり！残業ほぼなし！\n☆ インフルエンザ予防接種補助あり！職員の健康維持への配慮あり\n☆ 併設クリニックでの医療費は自己負担分の全額還付あり！\n☆ 職員同士助け合う雰囲気のあり！相談しやすい環境◎\n\n勤務時間：\n・正社員　8：30～17：30（休憩60分）*相談可能\n\n教育体制・研修\n☆ セミナーや研修の費用負担（研修費用年間50,000円）\n☆ S-QUE訪問看護eラーニング導入\n☆ 入社初日から新任研修制度あり\n\n勤務地：\n・〒063-0864\n・北海道札幌市西区八軒4条東1丁目2−10 條野ビル205号室\n\nご興味をお持ちいただけましたら、当ステーションのより詳しい情報や、働き方のご希望などについて、ぜひ一度お話する機会をいただけないでしょうか。（カジュアル面談はオンライン可）\n\nご多忙のところ恐縮ですが、ご返信いただけますと幸いです。\n\n何卒よろしくお願い申し上げます。\n\nアーク訪問看護ステーション 黒木 慎一
ark-visiting-nurse	nurse	正社員_初回	はじめまして。突然のご連絡大変失礼いたします、アーク訪問看護ステーションの黒木と申します。\n\nこの度は、ご経歴を拝見し、アーク訪問看護ステーションの『訪問看護師 - 面談確約 - 』のキャリアをご検討いただきたく、ご連絡いたしました。\n\n{personalized_text}\n\nこれまでのご経験は、地域に根差した当訪問看護ステーションが目指す「地域の皆様に寄り添う訪問看護」において、重要な役割を担っていただけると感じております。\n\n現在、アーク訪問看護ステーションでは、札幌市西区でご勤務いただける看護師を募集しております。6月以降での増員を検討しており、3〜5月での採用は検討していない点、ご留意くださいませ。\n\n当看護ステーションは、ワークライフバランスを重視しており、柔軟な働き方（時短勤務など）の相談を歓迎します。一人ひとりのライフステージやご家庭の状況に合わせて、最適な勤務形態を一緒に検討し、無理なく長期的に活躍できる環境を提供します。\n\n＜募集要項概要＞\n\n仕事内容 ：\n・訪問看護業務全般（患者様宅を訪問し、体調管理、服薬管理、医療機器管理、日常生活援助、リハビリテーション、ターミナルケア、緩和ケアなどを行っていただきます。）\n\nお客様の特徴：\n・認知症の方、足腰が弱ってしまい通院が大変な方、退院したばかりで日々の生活に不安を感じている方、がんと診断され自宅で過ごしたいと考えている方、神経難病をお持ちの方など\n\n給与： 月給 300,000円 〜 450,000円 *各種手当含む\n\n特徴：\n☆ 成長環境◎充実した研修制度・費用補助あり\n☆ 賞与・昇給あり！各種手当充実！退職金制度あり！\n☆ 子育てママ多数活躍中！急なお休みにも柔軟に対応◎\n☆ Wワーク・ブランクOK！育休産休の取得実績あり！\n☆ クリニックに併設しており、営業ノルマなし！\n☆ 福利厚生◎年末年始休暇あり！残業ほぼなし！\n☆ インフルエンザ予防接種補助あり！職員の健康維持への配慮あり\n☆ 併設クリニックでの医療費は自己負担分の全額還付あり！\n☆ 職員同士助け合う雰囲気のあり！相談しやすい環境◎\n\n勤務時間：\n・正社員　8：30～17：30（休憩60分）*相談可能\n\n教育体制・研修\n☆ セミナーや研修の費用負担（研修費用年間50,000円）\n☆ S-QUE訪問看護eラーニング導入\n☆ 入社初日から新任研修制度あり\n\n勤務地：\n・〒063-0864\n・北海道札幌市西区八軒4条東1丁目2−10 條野ビル205号室\n\nご興味をお持ちいただけましたら、当ステーションのより詳しい情報や、働き方のご希望などについて、ぜひ一度話する機会をいただけないでしょうか。（カジュアル面談はオンライン可）\n\nご多忙のところ恐縮ですが、ご返信いただけますと幸いです。\n\n何卒よろしくお願い申し上げます。\n\nアーク訪問看護ステーション 黒木 慎一
ark-visiting-nurse	nurse	正社員_再送	度々のご連絡大変申し訳ございません。諦めきれず、ご連絡させていただきます、アーク訪問看護ステーションの黒木と申します。この度は、ご経歴を拝見し、アーク訪問看護ステーションの『訪問看護師 - 面談確約 - 』のキャリアをご検討いただきたく、ご連絡いたしました。\n\n{personalized_text}\n\nこれまでのご経験は、地域に根差した当訪問看護ステーションが目指す「地域の皆様に寄り添う訪問看護」において、重要な役割を担っていただけると感じております。\n\n現在、アーク訪問看護ステーションでは、札幌市西区でご勤務いただける看護師を募集しております。6月以降での増員を検討しており、3〜5月での採用は検討していない点、ご留意くださいませ。\n\n当看護ステーションは、ワークライフバランスを重視しており、柔軟な働き方（時短勤務など）の相談を歓迎します。一人ひとりのライフステージやご家庭の状況に合わせて、最適な勤務形態を一緒に検討し、無理なく長期的に活躍できる環境を提供します。\n\n＜募集要項概要＞\n\n仕事内容 ：\n・訪問看護業務全般（患者様宅を訪問し、体調管理、服薬管理、医療機器管理、日常生活援助、リハビリテーション、ターミナルケア、緩和ケアなどを行っていただきます。）\n\nお客様の特徴：\n・認知症の方、足腰が弱ってしまい通院が大変な方、退院したばかりで日々の生活に不安を感じている方、がんと診断され自宅で過ごしたいと考えている方、神経難病をお持ちの方など\n\n給与： 月給 300,000円 〜 450,000円 *各種手当含む\n\n特徴：\n☆ 成長環境◎充実した研修制度・費用補助あり\n☆ 賞与・昇給あり！各種手当充実！退職金制度あり！\n☆ 子育てママ多数活躍中！急なお休みにも柔軟に対応◎\n☆ Wワーク・ブランクOK！育休産休の取得実績あり！\n☆ クリニックに併設しており、営業ノルマなし！\n☆ 福利厚生◎年末年始休暇あり！残業ほぼなし！\n☆ インフルエンザ予防接種補助あり！職員の健康維持への配慮あり\n☆ 併設クリニックでの医療費は自己負担分の全額還付あり！\n☆ 職員同士助け合う雰囲気のあり！相談しやすい環境◎\n\n勤務時間：\n・正社員　8：30～17：30（休憩60分）*相談可能\n\n教育体制・研修\n☆ セミナーや研修の費用負担（研修費用年間50,000円）\n☆ S-QUE訪問看護eラーニング導入\n☆ 入社初日から新任研修制度あり\n\n勤務地：\n・〒063-0864\n・北海道札幌市西区八軒4条東1丁目2−10 條野ビル205号室\n\nご興味をお持ちいただけましたら、当ステーションのより詳しい情報や、働き方のご希望などについて、ぜひ一度話する機会をいただけないでしょうか。（カジュアル面談はオンライン可）\n\nご多忙のところ恐縮ですが、ご返信いただけますと幸いです。\n\n何卒よろしくお願い申し上げます。\n\nアーク訪問看護ステーション 黒木 慎一
lcc-visiting-nurse	nurse	正社員_初回	🌸とにかくやってみよう！を合言葉に🌸チャレンジする人歓迎！訪問未経験の方が9割！東京訪問看護ステーションに認定されました！見学・Web説明会実施中！\n\nはじめまして。突然のご連絡大変失礼いたします、LCC訪問看護ステーションの採用担当でございます。\n\nこの度は、ご経歴を拝見し、LCC訪問看護ステーションの『訪問看護師 - 面談確約 - 』のキャリアをご検討いただきたく、ご連絡いたしました。\n\n{personalized_text}\n\nそのご経験は、地域に根差した当ステーションが目指す「誰もが自分らしく生きられる社会の実現」において、重要な役割を担っていただけると感じております。\n\n現在、LCC訪問看護ステーションでは、東京23区内でご勤務いただける看護師の方を募集しております。訪問範囲は、港区、渋谷区、千代田区中心で、一部世田谷区、品川区、中央区、文京区もございます。\n\n当看護ステーションは、ワークライフバランスを重視しており、柔軟な働き方（時短勤務など）の相談を歓迎します。一人ひとりのライフステージやご家庭の状況に合わせて、最適な勤務形態を一緒に検討し、無理なく長期的に活躍できる環境をお約束いたします。\n\n＜募集要項概要＞\n\n仕事内容\n訪問看護ステーションにて、看護業務を行っていただきます。\n・日常生活の支援\n・薬の管理と指導\n・床ずれの予防・処置\n・介護相談\n・医療器具の管理（人工呼吸、胃瘻、在宅酸素など）\n・外出の同行\n・計画書や報告書の作成\n・ご利用者様宅の担当者会議や地域会議参加\n・オンコール当番（3～5回/月）\n\n給与： 331,000円 〜 594,000円\n\n特徴：\n・完全週休二日制！年末年始休暇など、年間休日120日\n・残業ほぼなし！ワークライフバランスを重視\n・産休・育休・有給の取得がしやすい環境◎\n・在宅医療を学ぶことができ、成長・スキルアップ可能\n・Wワーク・副業OK！一人ひとりに合わせた柔軟な働き方◎\n\n勤務時間：\n・9:00～18:00（休憩60分）\n*残業ほぼなし\n\n福利厚生：\n・各種社会保険完備\n・研修制度あり\n*訪問看護が初めての方でもご安心ください。\n・自転車・制服の貸与あり\n・携帯電話・ipadの貸与あり\n・社員表彰式あり\n\n所在地：\n東京都港区西麻布1-14-2 疋田ビル2F\n\n＼インスタグラムで社員や職場の情報を発信中／\n@lifecareconciergeとインスタグラムで検索し、フォローすると最新情報をGET！\n\nご興味をお持ちいただけましたら、当ステーションのより詳しい情報や、働き方のご希望などについて、ぜひ一度お話する機会をいただけないでしょうか。（カジュアル面談はオンライン可。）\n\nご多忙のところ恐縮ですが、ご返信いただけますと幸いです。\n\n何卒よろしくお願い申し上げます。\n\nLCC訪問看護ステーション　採用担当
lcc-visiting-nurse	nurse	正社員_再送	🌸とにかくやってみよう！を合言葉に🌸チャレンジする人歓迎！訪問未経験の方が9割！東京訪問看護ステーションに認定されました！見学・Web説明会実施中！\n\n度々のご連絡、大変失礼いたします。LCC訪問看護ステーションの採用担当でございます。以前ご連絡をお送りしましたが、諦めきれず再度ご連絡させていただきました。\n\n改めてご経歴を拝見し、LCC訪問看護ステーションの『訪問看護師 - 面談確約 - 』のキャリアをご検討いただきたく、ご連絡いたしました。\n\n{personalized_text}\n\nそのご経験は、地域に根差した当ステーションが目指す「誰もが自分らしく生きられる社会の実現」において、重要な役割を担っていただけると感じております。\n\n現在、LCC訪問看護ステーションでは、東京23区内でご勤務いただける看護師の方を募集しております。訪問範囲は、港区、渋谷区、千代田区中心で、一部世田谷区、品川区、中央区、文京区もございます。\n\n当看護ステーションは、ワークライフバランスを重視しており、柔軟な働き方（時短勤務など）の相談を歓迎します。一人ひとりのライフステージやご家庭の状況に合わせて、最適な勤務形態を一緒に検討し、無理なく長期的に活躍できる環境をお約束いたします。\n\n＜募集要項概要＞\n\n仕事内容\n訪問看護ステーションにて、看護業務を行っていただきます。\n・日常生活の支援\n・薬の管理と指導\n・床ずれの予防・処置\n・介護相談\n・医療器具の管理（人工呼吸、胃瘻、在宅酸素など）\n・外出の同行\n・計画書や報告書の作成\n・ご利用者様宅の担当者会議や地域会議参加\n・オンコール当番（3～5回/月）\n\n給与： 331,000円 〜 594,000円\n\n特徴：\n・完全週休二日制！年末年始休暇など、年間休日120日\n・残業ほぼなし！ワークライフバランスを重視\n・産休・育休・有給の取得がしやすい環境◎\n・在宅医療を学ぶことができ、成長・スキルアップ可能\n・Wワーク・副業OK！一人ひとりに合わせた柔軟な働き方◎\n\n勤務時間：\n・9:00～18:00（休憩60分）\n*残業ほぼなし\n\n福利厚生：\n・各種社会保険完備\n・研修制度あり\n*訪問看護が初めての方でもご安心ください。\n・自転車・制服の貸与あり\n・携帯電話・ipadの貸与あり\n・社員表彰式あり\n\n所在地：\n東京都港区西麻布1-14-2 疋田ビル2F\n\n＼インスタグラムで社員や職場の情報を発信中／\n@lifecareconciergeとインスタグラムで検索し、フォローすると最新情報をGET！\n\nご興味をお持ちいただけましたら、当ステーションのより詳しい情報や、働き方のご希望などについて、ぜひ一度お話する機会をいただけないでしょうか。（カジュアル面談はオンライン可。）\n\nご多忙のところ恐縮ですが、ご返信いただけますと幸いです。\n\n何卒よろしくお願い申し上げます。\n\nLCC訪問看護ステーション　採用担当
lcc-visiting-nurse	nurse	パート_初回	🌸とにかくやってみよう！を合言葉に🌸チャレンジする人歓迎！訪問未経験の方が9割！東京訪問看護ステーションに認定されました！見学・Web説明会実施中！\n\nはじめまして。突然のご連絡大変失礼いたします、LCC訪問看護ステーションの採用担当でございます。\n\nこの度は、ご経歴を拝見し、LCC訪問看護ステーションの『訪問看護師（パート） - 面談確約 - 』のキャリアをご検討いただきたく、ご連絡いたしました。\n\n{personalized_text}\n\nそのご経験は、地域に根差した当ステーションが目指す「誰もが自分らしく生きられる社会の実現」において、重要な役割を担っていただけると感じております。\n\n現在、LCC訪問看護ステーションでは、東京23区内でご勤務いただける看護師の方を募集しております。訪問範囲は、港区、渋谷区、千代田区中心で、一部世田谷区、品川区、中央区、文京区もございます。\n\n当看護ステーションは、ワークライフバランスを重視しており、柔軟な働き方の相談を歓迎します。一人ひとりのライフステージやご家庭の状況に合わせて、最適な勤務形態を一緒に検討し、無理なく長期的に活躍できる環境をお約束いたします。\n\n＜募集要項概要＞\n\n仕事内容\n訪問看護ステーションにて、看護業務を行っていただきます。\n・日常生活の支援\n・薬の管理と指導\n・床ずれの予防・処置\n・介護相談\n・医療器具の管理（人工呼吸、胃瘻、在宅酸素など）\n・外出の同行\n・計画書や報告書の作成\n・ご利用者様宅の担当者会議や地域会議参加\n\n給与： 時給 2,000円 〜 2,500円\n\n特徴：\n・週1日～勤務OK！曜日・時間は応相談◎\n・Wワーク・ブランクOK！子育てとの両立も◎\n・残業ほぼなし！ワークライフバランスを重視\n・オンコール免除可能◎\n・在宅医療を学ぶことができ、成長・スキルアップ可能\n\n勤務時間：\n・応相談（週1日～OK）\n*残業ほぼなし\n\n福利厚生：\n・研修制度あり\n*訪問看護が初めての方でもご安心ください。\n・自転車・制服の貸与あり\n・携帯電話・ipadの貸与あり\n・オンコール手当5,000円/回、フォロー手当あり\n・インフルエンザ予防接種全額会社負担◎\n\n所在地：\n東京都港区西麻布1-14-2 疋田ビル2F\n\n＼インスタグラムで社員や職場の情報を発信中／\n@lifecareconciergeとインスタグラムで検索し、フォローすると最新情報をGET！\n\nご興味をお持ちいただけましたら、当ステーションのより詳しい情報や、働き方のご希望などについて、ぜひ一度お話する機会をいただけないでしょうか。（カジュアル面談はオンライン可。）\n\nご多忙のところ恐縮ですが、ご返信いただけますと幸いです。\n\n何卒よろしくお願い申し上げます。\n\nLCC訪問看護ステーション　採用担当
